year,numCandidates,africanAmerican,female,hs_pct,poverty,unemp,voter_turnout
2000,3,0,0,0.27,0.42,0.08,56.43
2004,4,1,0,0.27,0.42,0.08,57.75
2008,3,1,1,0.27,0.42,0.08,59.02
1991,5,0,1,0.21,0.22,0.09,58.71
1995,3,0,0,0.21,0.22,0.09,51.56
1999,2,0,0,0.21,0.22,0.09,51.36
2003,5,0,1,0.21,0.22,0.09,53.15
2011,3,0,1,0.21,0.22,0.09,50.39
1994,2,1,0,0.25,0.35,0.11,63.47
1997,4,1,1,0.25,0.35,0.11,44.94
2002,2,0,1,0.25,0.35,0.11,44.83
2006,3,1,1,0.25,0.35,0.11,46.01
2010,2,0,0,0.25,0.35,0.11,38.3
1988,3,1,1,0.23,0.43,0.2,75.74
1992,3,1,0,0.23,0.43,0.2,74.6
2000,2,1,1,0.23,0.43,0.2,47.99
2004,2,1,1,0.23,0.43,0.2,41.04
2008,2,1,0,0.23,0.43,0.2,31.06
1988,3,0,0,0.33,0.24,0.08,68.1
1992,5,0,0,0.33,0.24,0.08,80.27
1996,2,0,0,0.33,0.24,0.08,67.98
2000,2,0,0,0.33,0.24,0.08,63
2008,2,1,0,0.33,0.24,0.08,50.79
2002,3,1,1,0.2,0.31,0.09,50.46
2002,2,1,0,0.2,0.31,0.09,50.41
2006,3,1,0,0.2,0.31,0.09,46.32
2010,2,1,0,0.2,0.31,0.09,40.65
1988,3,0,0,0.25,0.33,0.08,67.23
1992,2,0,1,0.25,0.33,0.08,57.68
2000,2,0,0,0.25,0.33,0.08,43.67
1990,2,0,0,0.3,0.15,0.08,74.68
1994,2,0,0,0.3,0.15,0.08,62.74
2002,3,0,0,0.3,0.15,0.08,37.29
2006,2,0,0,0.3,0.15,0.08,35.45
1990,3,0,0,0.4,0.32,0.13,80.76
2002,2,0,0,0.4,0.32,0.13,50.89
2005,2,0,0,0.4,0.32,0.13,35.55
2006,2,0,0,0.4,0.32,0.13,33.73
2002,2,0,0,0.29,0.21,0.1,2.25
2006,5,1,1,0.29,0.21,0.1,45.61
1988,3,0,0,0.29,0.15,0.15,61.52
1992,2,0,1,0.29,0.15,0.15,73.64
2004,2,0,1,0.29,0.15,0.15,38.21
2008,2,0,1,0.29,0.15,0.15,27.08
2006,2,0,0,0.36,0.33,0.1,44.97
2010,2,0,0,0.36,0.33,0.1,50.43
1988,4,1,0,0.33,0.38,0.18,66.07
1992,5,1,1,0.33,0.38,0.18,62.98
1996,3,1,1,0.33,0.38,0.18,68.75
2000,3,1,0,0.33,0.38,0.18,56.66
2004,5,1,1,0.33,0.38,0.18,49.8
2008,3,1,0,0.33,0.38,0.18,56.96
1990,2,0,1,0.33,0.28,0.1,79.96
1994,2,0,1,0.33,0.28,0.1,63.56
2003,2,0,1,0.33,0.28,0.1,55.48
1994,4,0,1,0.3,0.33,0.12,65.6
1998,2,0,1,0.3,0.33,0.12,54.18
2010,4,1,1,0.3,0.33,0.12,43.06
1992,2,0,0,0.51,0.13,0.11,85.31
2004,2,0,0,0.51,0.13,0.11,81.3
1990,2,0,1,0.26,0.41,0.2,80.06
1994,2,0,1,0.26,0.41,0.2,72.73
1998,3,0,0,0.26,0.41,0.2,66.73
2007,2,0,1,0.26,0.41,0.2,53.91
2010,6,0,1,0.26,0.41,0.2,51.89
2006,3,1,0,0.26,0.4,0.19,36.68
2010,2,1,0,0.26,0.4,0.19,33.64
1990,2,0,0,0.35,0.22,0.06,78.44
1997,2,0,0,0.35,0.22,0.06,70.45
2010,2,0,0,0.35,0.22,0.06,35.58
1990,3,0,1,0.31,0.37,0.1,75.94
1994,4,0,1,0.31,0.37,0.1,69.92
1998,3,0,1,0.31,0.37,0.1,38.34
2002,2,0,1,0.31,0.37,0.1,62.84
2003,3,0,1,0.31,0.37,0.1,60.7
1990,2,0,0,0.3,0.36,0.19,74.43
1994,3,0,0,0.3,0.36,0.19,73.46
1998,2,0,0,0.3,0.36,0.19,57.86
2000,3,0,1,0.3,0.36,0.19,48.42
2002,2,0,1,0.3,0.36,0.19,54.52
2006,2,0,1,0.3,0.36,0.19,37.25
1990,1,0,0,0.28,0.28,0.07,83.84
1994,2,0,0,0.28,0.28,0.07,77.78
1998,2,0,0,0.28,0.28,0.07,71.44
1996,2,0,1,0.37,0.22,0.09,70.73
2004,2,0,1,0.37,0.22,0.09,78.4
2010,2,0,0,0.24,0.29,0.09,50.9
1990,3,0,0,0.26,0.38,0.14,79.09
1994,3,0,1,0.26,0.38,0.14,66.7
1996,3,0,0,0.26,0.38,0.14,62.09
2002,2,0,1,0.26,0.38,0.14,43.22
2006,2,0,1,0.26,0.38,0.14,49.1
2010,5,0,1,0.26,0.38,0.14,8.61
1998,2,0,0,0.25,0.39,0.22,60.25
1992,2,1,0,0.28,0.35,0.13,64.19
1996,2,1,0,0.28,0.35,0.13,62.98
2000,3,1,1,0.28,0.35,0.13,41.26
2004,3,1,1,0.28,0.35,0.13,35.4
2008,5,1,1,0.28,0.35,0.13,44.49
1988,3,1,1,0.36,0.24,0.14,46.94
2000,2,1,0,0.36,0.24,0.14,51.89
1992,2,1,1,0.23,0.52,0.18,68.39
1996,2,1,1,0.23,0.52,0.18,74.88
2000,4,1,0,0.23,0.52,0.18,60.98
2004,6,1,0,0.23,0.52,0.18,64.02
2008,2,1,0,0.23,0.52,0.18,69.77
1992,2,0,0,0.32,0.11,0.15,51.69
1995,2,0,0,0.32,0.11,0.15,68.03
2008,2,1,1,0.32,0.11,0.15,53.22
1992,2,0,0,0.31,0.38,0.1,64.77
1992,2,0,0,0.31,0.38,0.1,70.91
1996,2,0,0,0.31,0.38,0.1,71.67
2004,3,0,1,0.31,0.38,0.1,62.43
1992,4,0,1,0.24,0.23,0.17,59.06
1998,3,1,0,0.24,0.23,0.17,48.97
2002,3,1,0,0.24,0.23,0.17,50.98
2010,2,1,0,0.24,0.23,0.17,42.3
1998,1,0,0,0.37,0.2,0.11,78.57
2002,2,0,0,0.37,0.2,0.11,73.21
1990,2,0,0,0.27,0.19,0.07,75.99
1994,2,0,1,0.27,0.19,0.07,75
